Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,42384.3984375,42685.80078125,42019.0,42384.3984375,39428.34375,10890
2019-06-17,42978.1015625,42978.1015625,41563.19921875,42978.1015625,39980.640625,10949
2019-06-18,43115.1015625,43115.1015625,42586.30078125,43115.1015625,40108.0859375,6962
2019-06-19,43110.6015625,43115.1015625,42932.5,43110.6015625,40103.8984375,6361
2019-06-20,43114.19921875,43387.3984375,42658.3984375,43114.19921875,40107.24609375,8283
2019-06-21,42722.3984375,43243.0,42479.3984375,42722.3984375,39742.7734375,115343
2019-06-24,43389.19921875,43571.8984375,42722.3984375,43389.19921875,40363.06640625,4241
2019-06-25,43389.19921875,43571.8984375,43160.80078125,43389.19921875,40363.06640625,5744
2019-06-26,43012.80078125,43389.19921875,42713.19921875,43012.80078125,40012.91796875,10403
2019-06-27,43012.80078125,43105.1015625,42578.0,43012.80078125,40012.91796875,3080
2019-06-28,42704.1015625,43160.80078125,42582.6015625,42704.1015625,39725.75,6483
2019-07-01,42576.19921875,43160.80078125,42576.19921875,42576.19921875,39606.76953125,9881
2019-07-02,42628.30078125,42932.5,42567.1015625,42628.30078125,39655.23828125,16733
2019-07-03,42824.69921875,42932.5,42477.6015625,42824.69921875,39837.9375,6002
2019-07-04,42931.5,43114.19921875,42693.1015625,42931.5,39937.2890625,6116
2019-07-05,42877.6015625,43068.6015625,42477.6015625,42877.6015625,39887.15234375,4294
2019-07-08,42931.5,43387.3984375,42658.3984375,42931.5,39937.2890625,4843
2019-07-09,42877.6015625,42932.5,42479.3984375,42877.6015625,39887.15234375,7045
2019-07-10,43138.0,43389.19921875,42570.69921875,43138.0,40129.390625,8516
2019-07-11,43115.1015625,43209.19921875,42481.19921875,43115.1015625,40108.0859375,1727
2019-07-12,42748.8984375,43133.3984375,42705.0,42748.8984375,39767.421875,3412
2019-07-15,42932.5,43114.19921875,42535.1015625,42932.5,39938.21875,1645
2019-07-17,42338.69921875,43136.19921875,42338.69921875,42338.69921875,39385.83203125,7615
2019-07-18,42430.1015625,42841.1015625,42385.30078125,42430.1015625,39470.86328125,3247
2019-07-19,42566.19921875,42704.1015625,42204.3984375,42566.19921875,39597.46484375,5528
2019-07-22,42430.1015625,42923.30078125,42384.3984375,42430.1015625,39470.86328125,1094
2019-07-23,42019.0,42475.69921875,41897.5,42019.0,39088.4296875,4913
2019-07-24,42170.3984375,42836.80078125,40457.0,42170.3984375,39229.26953125,9997
2019-07-25,43280.3984375,43311.80078125,42170.3984375,43280.3984375,40261.8515625,8205
2019-07-26,42603.6015625,43112.80078125,42603.6015625,42603.6015625,39632.26171875,12782
2019-07-29,42750.19921875,43280.3984375,42123.80078125,42750.19921875,39768.6328125,8808
2019-07-30,42660.69921875,42835.80078125,42551.19921875,42660.69921875,39685.375,4114
2019-07-31,42219.0,43087.1015625,42219.0,42219.0,39274.48046875,22448
2019-08-01,42079.1015625,42798.69921875,41885.80078125,42079.1015625,39144.33984375,3495
2019-08-02,41884.8984375,42427.5,41712.6015625,41884.8984375,38963.68359375,8350
2019-08-05,40986.19921875,42836.80078125,40552.19921875,40986.19921875,38127.66015625,16070
2019-08-06,40542.6015625,41674.5,40542.6015625,40542.6015625,37715.0,22393
2019-08-07,40361.80078125,40913.8984375,39980.0,40361.80078125,37546.80859375,16540
2019-08-08,40952.0,41599.30078125,40457.0,40952.0,38095.84765625,11334
2019-08-09,41228.0,41673.5,40951.0,41228.0,38352.59765625,10875
2019-08-12,40742.5,41452.69921875,40079.0,40742.5,37900.9609375,6630
2019-08-13,40663.5,41599.30078125,40663.5,40663.5,37827.46875,14916
2019-08-14,41110.0,41861.1015625,39996.19921875,41110.0,38242.828125,5771
2019-08-16,40648.30078125,41534.5,40361.80078125,40648.30078125,37813.33203125,11872
2019-08-19,41029.1015625,41660.19921875,40647.30078125,41029.1015625,38167.5703125,5841
2019-08-20,41376.5,42026.69921875,40657.80078125,41376.5,38490.7421875,11370
2019-08-21,41884.8984375,42026.69921875,40937.69921875,41884.8984375,38963.68359375,8964
2019-08-22,41980.1015625,42122.80078125,41665.0,41980.1015625,39052.2421875,13829
2019-08-23,40745.3984375,42189.5,40745.3984375,40745.3984375,37903.65234375,3142
2019-08-26,40967.19921875,41407.8984375,40753.0,40967.19921875,38109.98828125,6866
2019-08-27,40975.80078125,42075.19921875,40975.80078125,40975.80078125,38117.98828125,135281
2019-08-28,40932.8984375,41837.30078125,40505.5,40932.8984375,38078.078125,10162
2019-08-29,41504.1015625,41780.1015625,40932.8984375,41504.1015625,38609.4453125,13085
2019-08-30,43312.80078125,43312.80078125,41528.80078125,43312.80078125,40291.99609375,16561
2019-09-02,43101.3984375,43101.3984375,42307.5,43059.5,40056.359375,327
2019-09-03,42171.3984375,43054.80078125,42171.3984375,42171.3984375,39230.203125,4140
2019-09-04,42246.6015625,42816.80078125,41884.8984375,42246.6015625,39300.16015625,7910
2019-09-05,42599.80078125,42694.0,41889.6015625,42599.80078125,39628.7265625,4367
2019-09-06,42313.19921875,42599.80078125,42100.8984375,42313.19921875,39362.109375,2092
2019-09-09,43310.80078125,43311.80078125,42313.19921875,43310.80078125,40290.1328125,2732
2019-09-10,43303.19921875,43303.19921875,42360.80078125,43303.19921875,40283.0625,15335
2019-09-11,43902.8984375,44602.6015625,41884.8984375,43902.8984375,40840.9375,19801
2019-09-12,44160.0,44740.6015625,43125.19921875,44160.0,41080.10546875,4016
2019-09-13,44074.30078125,44549.30078125,43323.19921875,44074.30078125,41000.38671875,6179
2019-09-16,44550.30078125,44550.30078125,43180.3984375,44550.30078125,41443.1875,15917
2019-09-17,43916.30078125,44550.30078125,43789.69921875,43916.30078125,40853.40625,135706
2019-09-23,43408.8984375,43902.0,43131.8984375,43408.8984375,40381.390625,13757
2019-09-24,43979.1015625,43979.1015625,43314.69921875,43979.1015625,40911.828125,4026
2019-09-25,43883.8984375,43978.1015625,43313.69921875,43883.8984375,40823.265625,16406
2019-09-26,44169.5,44502.69921875,43884.8984375,44169.5,41088.9453125,2416
2019-09-27,43980.1015625,44645.3984375,43979.1015625,43980.1015625,40912.7578125,3825
2019-09-30,43714.5,44490.30078125,43505.0,43714.5,40665.6796875,21045
2019-10-01,43503.1015625,43683.1015625,43313.69921875,43503.1015625,40469.0234375,5550
2019-10-02,43313.69921875,43540.30078125,43313.69921875,43313.69921875,40292.83203125,5853
2019-10-03,43027.19921875,43484.1015625,42789.19921875,43027.19921875,40026.3125,3944
2019-10-04,43265.19921875,43470.80078125,42966.19921875,43265.19921875,40247.71484375,7934
2019-10-07,43503.1015625,43503.1015625,43074.80078125,43503.1015625,40469.0234375,10753
2019-10-08,43501.19921875,43702.1015625,43131.8984375,43501.19921875,40467.25390625,3178
2019-10-09,43455.5,43497.3984375,43180.3984375,43455.5,40424.7421875,1357
2019-10-10,43497.3984375,43501.19921875,43017.69921875,43497.3984375,40463.71875,3707
2019-10-11,43674.5,43674.5,43027.19921875,43674.5,40628.46875,6262
2019-10-14,43312.80078125,43674.5,42932.0,43312.80078125,40291.99609375,16083
2019-10-15,43883.8984375,43883.8984375,43239.3984375,43883.8984375,40823.265625,14163
2019-10-16,43836.30078125,44093.30078125,43455.5,43836.30078125,40778.984375,6256
2019-10-17,44445.5,44455.1015625,43836.30078125,44445.5,41345.6953125,10837
2019-10-18,44549.30078125,44549.30078125,43485.0,44549.30078125,41442.2578125,8183
2019-10-21,43574.5,43574.5,41602.1015625,43574.5,40535.44140625,10507
2019-10-22,43170.0,43560.19921875,41791.6015625,43170.0,40159.15234375,38666
2019-10-23,42228.5,43170.0,42213.30078125,42228.5,39283.3203125,7308
2019-10-24,43407.8984375,43704.0,41884.8984375,43407.8984375,40380.4609375,12332
2019-10-25,43027.19921875,43598.30078125,42841.5,43027.19921875,40026.3125,2238
2019-10-28,43274.69921875,43692.6015625,42646.3984375,43274.69921875,40256.55078125,2202
2019-10-29,41780.1015625,43170.0,41549.80078125,41780.1015625,38866.19140625,8854
2019-10-30,39305.1015625,41789.69921875,39126.19921875,39305.1015625,36563.8125,25412
2019-11-04,39504.1015625,40636.8984375,39315.6015625,39504.1015625,36748.9296875,5100
2019-11-05,38353.19921875,39514.6015625,37145.19921875,38353.19921875,35678.296875,10333
2019-11-06,36744.3984375,38352.19921875,36213.30078125,36744.3984375,34181.69921875,7505
2019-11-07,38087.6015625,38087.6015625,36886.30078125,38087.6015625,35431.22265625,15267
2019-11-08,37877.19921875,38267.5,37792.5,37877.19921875,35235.49609375,6221
2019-11-11,35887.69921875,37858.19921875,35887.69921875,35887.69921875,33384.75,12320
2019-11-12,35583.1015625,36030.5,33419.3984375,35583.1015625,33101.39453125,4425
2019-11-13,33555.5,34745.3984375,32651.19921875,33555.5,31215.208984375,18226
2019-11-14,34059.1015625,35232.80078125,32365.599609375,34059.1015625,31683.6875,20226
2019-11-15,37315.6015625,38553.1015625,35699.19921875,37315.6015625,34713.0625,5026
2019-11-18,38124.69921875,38477.0,37410.80078125,38124.69921875,35465.734375,4421
2019-11-19,37581.19921875,38219.0,37172.80078125,37581.19921875,34960.13671875,5993
2019-11-20,36554.1015625,37782.0,36270.3984375,36554.1015625,34004.67578125,28485
2019-11-21,36554.1015625,36972.0,34750.19921875,36554.1015625,34004.67578125,8163
2019-11-22,36078.1015625,36554.1015625,35698.30078125,36078.1015625,33561.875,15679
2019-11-25,34555.0,36173.30078125,34555.0,34555.0,32145.0,21308
2019-11-26,34697.80078125,36172.30078125,33327.0,34697.80078125,32277.841796875,138257
2019-11-27,34079.0,34758.69921875,34079.0,34079.0,31702.197265625,9413
2019-11-28,33698.30078125,34079.0,33509.80078125,33698.30078125,31348.048828125,2703
2019-11-29,34250.3984375,34697.80078125,32556.0,34250.3984375,31861.640625,13370
2019-12-02,33650.69921875,34250.3984375,33565.0,33650.69921875,31303.767578125,27556
2019-12-03,33793.5,33803.0,32841.5,33793.5,31436.609375,25640
2019-12-04,35601.19921875,35697.30078125,33127.1015625,35601.19921875,33118.23046875,25188
2019-12-05,36411.30078125,36744.3984375,35840.1015625,36411.30078125,33871.83203125,13218
2019-12-06,36173.30078125,37125.19921875,36173.30078125,36173.30078125,33650.43359375,9059
2019-12-09,36382.69921875,36792.0,36363.69921875,36382.69921875,33845.2265625,4606
2019-12-10,36168.5,36458.8984375,36168.5,36168.5,33645.96484375,11031
2019-12-11,35887.69921875,36268.5,35240.3984375,35887.69921875,33384.75,23313
2019-12-12,36554.1015625,36554.1015625,35885.80078125,36554.1015625,34004.67578125,24408
2019-12-13,35783.0,36839.6015625,35383.19921875,35783.0,33287.3515625,3681
2019-12-16,35126.19921875,35783.8984375,35031.0,35126.19921875,32676.361328125,7421
2019-12-17,34221.80078125,35602.1015625,33812.5,34221.80078125,31835.0390625,27364
2019-12-18,32863.3984375,34716.80078125,32842.5,32863.3984375,30571.376953125,50028
2019-12-19,33031.8984375,33774.3984375,33031.8984375,33031.8984375,30728.125,11506
2019-12-20,32565.5,33311.80078125,32556.0,32565.5,30294.25390625,198315
2019-12-23,32127.599609375,32851.1015625,32127.599609375,32127.599609375,29886.89453125,7773
2019-12-24,32359.900390625,32365.599609375,32032.400390625,32359.900390625,30102.994140625,3851
2019-12-26,32317.0,32365.599609375,31985.80078125,32317.0,30063.0859375,2724
2019-12-27,32175.19921875,32317.0,31984.80078125,32175.19921875,29931.173828125,4153
2019-12-30,32460.80078125,32841.5,32184.69921875,32460.80078125,30196.859375,22655
2020-01-02,33603.1015625,33603.1015625,32460.80078125,33603.1015625,31259.490234375,4564
2020-01-03,33841.1015625,34650.19921875,32989.1015625,33841.1015625,31480.890625,18477
2020-01-06,34555.0,34650.19921875,33698.30078125,34555.0,32145.0,20995
2020-01-07,35316.6015625,35435.5,34555.0,35316.6015625,32853.484375,5428
2020-01-08,35506.8984375,35625.8984375,34748.19921875,35506.8984375,33030.5078125,25888
2020-01-09,35316.6015625,35506.8984375,34557.8984375,35316.6015625,32853.484375,45825
2020-01-10,35602.1015625,35602.1015625,35080.5,35602.1015625,33119.07421875,5328
2020-01-13,35649.69921875,35687.80078125,35259.3984375,35649.69921875,33163.3515625,10683
2020-01-14,35459.30078125,35887.69921875,35221.3984375,35459.30078125,32986.23046875,41086
2020-01-15,34827.30078125,35358.3984375,34555.0,34827.30078125,32398.306640625,8244
2020-01-16,34639.69921875,34640.69921875,33798.19921875,34639.69921875,32223.7890625,9970
2020-01-17,34652.1015625,34744.3984375,34269.3984375,34652.1015625,32235.328125,9567
2020-01-20,34269.3984375,34840.6015625,34269.3984375,34269.3984375,31879.318359375,8149
2020-01-21,33231.80078125,34269.3984375,33222.30078125,33231.80078125,30914.0859375,13010
2020-01-22,32698.69921875,33231.80078125,32698.69921875,32698.69921875,30418.1640625,7871
2020-01-23,32550.19921875,32698.69921875,32365.599609375,32550.19921875,30280.021484375,6285
